# ts rotation(deg) translation(m)
407.506 1.77394 1.80135
407.506 1.69062 2.01569
407.856 1.84987 1.54822
407.856 1.78335 1.46682
407.856 1.70872 1.45606
407.856 1.65638 1.51825
407.856 1.65881 1.63725
407.856 1.64167 1.80701
407.856 1.65669 2.01926
408.206 1.94121 1.58223
408.206 1.92249 1.51056
408.206 1.95073 1.50606
408.206 1.94847 1.56211
408.206 1.96391 1.67619
408.206 2.0101 1.83869
408.206 1.9669 2.02839
408.556 1.72461 1.58395
408.556 1.7255 1.53452
408.556 1.71968 1.52876
408.556 1.73219 1.59718
408.556 1.74252 1.69605
408.556 1.79102 1.84536
408.556 1.88235 2.02116
408.906 1.74219 1.62043
408.906 1.75371 1.58
408.906 1.75021 1.56978
408.906 1.83583 1.63198
408.906 1.81486 1.72289
408.906 1.83688 1.86554
408.906 1.8608 2.02422
409.305 1.63523 1.73409
409.305 1.73673 1.65419
409.305 1.67372 1.60004
409.305 1.79676 1.60984
409.305 1.86327 1.65072
409.305 1.87765 1.73519
409.305 1.95028 1.86122
409.305 1.93446 1.99695
409.705 1.68169 1.72774
409.705 1.72815 1.6545
409.705 1.75271 1.61138
409.705 1.7634 1.61847
409.705 1.71312 1.65441
409.705 1.77135 1.73687
409.705 1.7746 1.83876
409.705 1.71187 1.96458
409.705 1.75074 2.11667
410.155 1.58757 1.72113
410.155 1.64564 1.66729
410.155 1.64549 1.63873
410.155 1.71481 1.64363
410.155 1.79049 1.68071
410.155 1.76357 1.73952
410.155 1.79523 1.83205
410.155 1.78878 1.93718
410.155 1.79082 2.06189
410.655 1.70286 1.78173
410.655 1.61466 1.71105
410.655 1.63843 1.67708
410.655 1.58986 1.65936
410.655 1.59711 1.67541
410.655 1.60479 1.70441
410.655 1.62255 1.75728
410.655 1.72214 1.83423
410.655 1.77491 1.91783
410.655 1.86006 2.0219
410.655 1.91981 2.12803
411.205 1.9649 1.746
411.205 1.89133 1.70512
411.205 1.76232 1.67387
411.205 1.70558 1.67247
411.205 1.65007 1.67871
411.205 1.53934 1.70604
411.205 1.48316 1.75061
411.205 1.48357 1.80531
411.205 1.51271 1.87374
411.205 1.55016 1.94501
411.205 1.5955 2.02751
411.205 1.70777 2.11574
411.905 1.71951 1.82045
411.905 1.69044 1.7797
411.905 1.66799 1.74321
411.905 1.65495 1.72272
411.905 1.64931 1.71007
411.905 1.61107 1.71055
411.905 1.61659 1.72286
411.905 1.60744 1.73717
411.905 1.59335 1.7653
411.905 1.59496 1.80225
411.905 1.56706 1.84107
411.905 1.5797 1.88925
411.905 1.55722 1.93242
411.905 1.5415 1.98807
411.905 1.53273 2.04726
411.905 1.5485 2.10712
412.805 1.75118 1.85232
412.805 1.67449 1.81312
412.805 1.63787 1.78684
412.805 1.60923 1.76297
412.805 1.57197 1.74226
412.805 1.55228 1.73291
412.805 1.51346 1.72543
412.805 1.62622 1.72883
412.805 1.78698 1.73053
412.805 1.85114 1.72454
412.805 1.94342 1.72823
412.805 2.06786 1.73666
412.805 2.15258 1.75931
412.805 2.17568 1.78932
412.805 2.19032 1.82971
412.805 2.30631 1.8717
412.805 2.50283 1.91714
412.805 2.76705 1.95574
412.805 3.0059 2.00638
412.805 3.30184 2.05323
413.855 4.28584 1.90897
413.855 3.97179 1.86958
413.855 3.57644 1.82964
413.855 3.1755 1.80941
413.855 2.84345 1.78008
413.855 2.59805 1.76549
413.855 2.26376 1.7421
413.855 1.93955 1.73471
413.855 1.74752 1.73324
413.855 1.70739 1.7287
413.855 2.04071 1.74681
413.855 2.43472 1.74995
413.855 2.95154 1.76728
413.855 3.51799 1.79533
413.855 4.06105 1.83151
413.855 4.67521 1.88874
413.855 5.15829 1.94637
413.855 5.73197 2.01484
414.655 6.11865 1.9807
414.655 5.32719 1.92821
414.655 4.50042 1.88409
414.655 3.70738 1.84174
414.655 2.98684 1.80211
414.655 2.38706 1.78378
414.655 1.97824 1.76048
414.655 1.86008 1.75504
414.655 1.97071 1.74949
414.655 2.36133 1.76491
414.655 2.89594 1.78758
414.655 3.4971 1.81627
414.655 4.23895 1.85968
414.655 4.99472 1.90681
414.655 5.82621 1.96827
415.355 6.16551 2.05139
415.355 5.2114 1.99081
415.355 4.36111 1.94668
415.355 3.49493 1.89705
415.355 2.71729 1.8636
415.355 2.08296 1.83114
415.355 1.86349 1.81542
415.355 2.16054 1.81143
415.355 2.72132 1.81884
415.355 3.46746 1.84137
415.355 4.25035 1.87898
415.355 5.05546 1.93075
415.355 5.89511 1.99451
415.955 4.81017 2.12119
415.955 4.03214 2.05097
415.955 3.2777 1.98661
415.955 2.63012 1.93135
415.955 2.11229 1.89548
415.955 1.89207 1.87043
415.955 2.06352 1.86384
415.955 2.39987 1.87001
415.955 3.01524 1.89822
415.955 3.69612 1.94145
415.955 4.42185 1.99867
415.955 5.19334 2.06976
416.505 4.04892 2.13604
416.505 3.24385 2.06105
