# ts rotation(%) translation(%)
396.757 0.0398864 0.0299657
396.757 0.0417486 0.0395528
396.757 0.0498177 0.0479188
397.206 0.039342 0.0316043
397.206 0.029318 0.022108
397.206 0.0206685 0.0148426
397.206 0.017928 0.0116353
397.206 0.0237926 0.0163703
397.206 0.034491 0.0248543
397.206 0.0446168 0.0333839
397.206 0.044296 0.043733
397.206 0.0527305 0.0533856
397.657 0.0370291 0.0311304
397.657 0.0266959 0.0214104
397.657 0.0185341 0.0139333
397.657 0.0198111 0.0132073
397.657 0.0276768 0.0188735
397.657 0.0361577 0.0264384
397.657 0.0481612 0.036138
397.657 0.0447808 0.0440234
397.657 0.0543965 0.054982
398.157 0.0489772 0.0460323
398.157 0.0364563 0.0320275
398.157 0.0269166 0.0233314
398.157 0.0195001 0.0151241
398.157 0.0196017 0.0122643
398.157 0.0274934 0.0180634
398.157 0.0367132 0.0263374
398.157 0.0473115 0.0363865
398.157 0.0445749 0.0442378
398.157 0.0533957 0.0541024
398.657 0.0403318 0.0405978
398.657 0.030541 0.0274696
398.657 0.0232681 0.0201348
398.657 0.0176214 0.013528
398.657 0.0177189 0.0123025
398.657 0.022784 0.0158563
398.657 0.0294256 0.0221546
398.657 0.036594 0.0286045
398.657 0.0351304 0.0340322
398.657 0.0413993 0.0412967
399.157 0.0330306 0.0341519
399.157 0.026841 0.0273045
399.157 0.022184 0.0175893
399.157 0.0185653 0.013781
399.157 0.0186823 0.0129993
399.157 0.0212605 0.0154223
399.157 0.024532 0.0183876
399.157 0.0302739 0.0222534
399.157 0.0269538 0.0255357
399.157 0.030488 0.0303146
399.656 0.0254931 0.0281654
399.656 0.0212537 0.0217188
399.656 0.0191485 0.0197809
399.656 0.0177334 0.0127775
399.656 0.0180264 0.0136952
399.656 0.0183368 0.013894
399.656 0.020404 0.0150165
399.656 0.022443 0.0171822
399.656 0.0189011 0.0166332
399.656 0.0190373 0.0173582
400.157 0.0158915 0.016367
400.157 0.0162197 0.0166165
400.157 0.0160143 0.0170455
400.157 0.0173779 0.0162803
400.157 0.0170219 0.0125616
400.157 0.0163951 0.012268
400.157 0.0184173 0.012077
400.157 0.0156977 0.0128888
400.157 0.0140294 0.0123919
400.157 0.013996 0.0127545
400.606 0.0147075 0.0147556
400.606 0.0156846 0.015368
400.606 0.016636 0.015763
400.606 0.0148902 0.0123328
400.606 0.015683 0.0133216
400.606 0.0154353 0.0130538
400.606 0.0125364 0.0126858
400.606 0.0127329 0.0141269
400.606 0.0129838 0.0142376
401.056 0.0143423 0.0140425
401.056 0.0145501 0.0143175
401.056 0.015434 0.0138909
401.056 0.015846 0.014824
401.056 0.014672 0.013592
401.056 0.0165156 0.0145673
401.056 0.0148582 0.0141195
401.056 0.0156154 0.016012
401.456 0.0131961 0.0168859
401.456 0.0148369 0.0138815
401.456 0.0159568 0.0144307
401.456 0.0160201 0.0135806
401.456 0.0170554 0.0145737
401.456 0.0155861 0.0158611
401.456 0.0150231 0.0156895
401.456 0.016987 0.0169177
401.856 0.0139083 0.0158711
401.856 0.0137455 0.0126486
401.856 0.014871 0.0129757
401.856 0.0160771 0.0142832
401.856 0.0176493 0.01578
401.856 0.0192398 0.0163409
401.856 0.0200341 0.0206997
401.856 0.0228134 0.0208246
402.256 0.0198439 0.0152238
402.256 0.0206245 0.0146429
402.256 0.0211755 0.0144074
402.256 0.0216825 0.0134605
402.256 0.0226916 0.014777
402.256 0.0245159 0.0169878
402.256 0.0231358 0.0198982
402.256 0.0232786 0.023387
402.656 0.0173542 0.0136618
402.656 0.0174781 0.0128801
402.656 0.0178064 0.0118189
402.656 0.0211672 0.0127822
402.656 0.0223616 0.0142848
402.656 0.0274479 0.015863
402.656 0.0271466 0.0210358
402.656 0.0262165 0.0225529
403.006 0.0219955 0.0121353
403.006 0.0204286 0.0117991
403.006 0.0196014 0.0104182
403.006 0.0225786 0.011204
403.006 0.0254511 0.0121244
403.006 0.0264874 0.017891
403.006 0.0228199 0.0190467
403.356 0.0213797 0.0113448
403.356 0.0191052 0.0109044
403.356 0.0216851 0.011815
403.356 0.0241977 0.0127899
403.356 0.029529 0.0135973
403.356 0.0286008 0.018793
403.356 0.0247373 0.0193248
403.706 0.0237696 0.0131441
403.706 0.0232959 0.0115976
403.706 0.024643 0.0111908
403.706 0.0261692 0.0114456
403.706 0.0234657 0.0120156
403.706 0.0213907 0.0127844
403.706 0.0190992 0.0191314
404.056 0.0213907 0.0115059
404.056 0.019723 0.0111429
404.056 0.0217518 0.0112399
404.056 0.0249719 0.0121851
404.056 0.0214632 0.0124089
404.056 0.0188435 0.0125919
404.056 0.0172273 0.0192741
404.406 0.0185207 0.0112833
404.406 0.0213564 0.0114439
404.406 0.024793 0.0135406
404.406 0.0227948 0.0132341
404.406 0.0220166 0.0136689
404.406 0.0208311 0.0181735
404.406 0.0203166 0.0189041
404.756 0.020725 0.0136874
404.756 0.0233694 0.0141052
404.756 0.0227813 0.0137548
404.756 0.0229601 0.0137327
404.756 0.0213137 0.0168804
404.756 0.0222386 0.0184279
404.756 0.0246903 0.0203474
405.106 0.0258195 0.0157744
405.106 0.0261761 0.015591
405.106 0.0227245 0.0147215
405.106 0.0220569 0.0143257
405.106 0.0177834 0.0159591
405.106 0.0181498 0.0169268
405.106 0.0194205 0.0171393
405.456 0.0235683 0.0158975
405.456 0.0245598 0.0158793
405.456 0.0205518 0.0153117
405.456 0.0199752 0.0148597
405.456 0.0232762 0.0172316
405.456 0.0237948 0.0180218
405.456 0.0242642 0.0196652
405.806 0.0249814 0.0182963
405.806 0.0211644 0.0163357
405.806 0.0207444 0.0159918
405.806 0.0193883 0.0143565
405.806 0.0180874 0.0138234
405.806 0.0183891 0.0147378
405.806 0.018881 0.0155972
406.156 0.0214877 0.0176645
406.156 0.0215872 0.0159203
406.156 0.0213557 0.0155556
406.156 0.0215064 0.0146107
406.156 0.0208522 0.0151399
406.156 0.021343 0.0153743
406.156 0.0224997 0.0162858
406.506 0.0229325 0.018177
406.506 0.0218062 0.0165594
406.506 0.0198855 0.011893
406.506 0.0204364 0.0118328
406.506 0.0226652 0.0128164
406.506 0.0247587 0.0137235
406.506 0.0238374 0.0141962
406.856 0.0236065 0.0187775
406.856 0.0206561 0.0106068
406.856 0.0198407 0.010152
406.856 0.0199163 0.0104667
406.856 0.0240915 0.0119714
406.856 0.0259741 0.0125749
406.856 0.0290198 0.0135188
407.206 0.0307445 0.0114858
407.206 0.0255985 0.010274
407.206 0.0228196 0.00961099
407.206 0.0273045 0.0114443
407.206 0.0356868 0.0128171
407.206 0.0428515 0.0142349
407.506 0.0411694 0.0135888
407.506 0.030822 0.0118086
407.506 0.0225152 0.0106813
407.506 0.026561 0.0116833
407.506 0.0325143 0.0132221
407.506 0.0433172 0.0149428
407.506 0.0377354 0.020915
407.856 0.0325898 0.0137551
407.856 0.0243743 0.0115064
407.856 0.0278703 0.0111805
407.856 0.0358436 0.0124378
407.856 0.0395766 0.0137302
407.856 0.0376681 0.0192041
407.856 0.0304427 0.0198144
408.206 0.0255292 0.0142196
408.206 0.0254985 0.0130529
408.206 0.0315087 0.013551
408.206 0.0345591 0.014393
408.206 0.0408861 0.0163127
408.206 0.0319833 0.0191124
408.206 0.0286575 0.0199791
408.556 0.0215172 0.0140695
408.556 0.0225913 0.0125569
408.556 0.0296107 0.013699
408.556 0.0333132 0.014885
408.556 0.0327026 0.017659
408.556 0.0286592 0.018317
408.556 0.0203728 0.0197677
408.906 0.0176599 0.0144861
408.906 0.0235077 0.0137021
408.906 0.0285939 0.0139973
408.906 0.0317539 0.0152674
408.906 0.0274174 0.0179163
408.906 0.0256463 0.0187934
408.906 0.0218444 0.0201488
409.305 0.01839 0.015615
409.305 0.0219677 0.0144628
409.305 0.0255391 0.0137164
409.305 0.0267503 0.0149022
409.305 0.0346852 0.0171627
409.305 0.0277063 0.0177676
409.305 0.0245192 0.0187831
409.305 0.0203874 0.0199471
409.705 0.0194444 0.0147533
409.705 0.0205367 0.0141074
409.705 0.0233723 0.0139513
409.705 0.0254797 0.01442
409.705 0.0275086 0.0154884
409.705 0.0234939 0.0168974
409.705 0.0218661 0.0173043
409.705 0.0206158 0.0175476
409.705 0.0209904 0.0186274
410.155 0.0203603 0.0151952
410.155 0.0235887 0.014629
410.155 0.0248191 0.0149097
410.155 0.0266505 0.0158583
410.155 0.0284812 0.017251
410.155 0.0273366 0.0175647
410.155 0.022935 0.0178947
410.155 0.0224618 0.0181171
410.155 0.0223523 0.0182657
410.655 0.0215447 0.0157055
410.655 0.0207895 0.014341
410.655 0.0213215 0.0140089
410.655 0.0207604 0.0145736
410.655 0.021151 0.014279
410.655 0.0211128 0.0156993
410.655 0.0217932 0.017146
410.655 0.02063 0.0179769
